Identifier,Title,Status,Priority,Assignee,Labels,Project,Due Date,Created,Updated,Git Branch,URL
CRE-4435,Refactor - Shift common code to BaseTxnProcessor,Released,Medium,garima.a@crego.ai,"client:shared, release:v2.2.0, type:chore",Platform,,2025-12-15,2026-02-15,,https://linear.app/crego/issue/CRE-4435
CRE-4448,Report Customisation,Released,Medium,priyam.j@crego.ai,release:v2.2.0; client:shared; repo:crego-omni; repo:crego-web; type:feature,Platform,2026-01-26,2025-12-16,2026-02-15,feature/cre-4448-report-customisation,https://linear.app/crego/issue/CRE-4448/report-customisation
CRE-4457,Add excess settlement in EOD task,Released,Urgent,Arjit Agnihotri,release:v2.2.0; repo:crego-omni,Platform,,2025-12-17,2026-02-15,feature/cre-4457-add-excess-settlement-in-eod-task,https://linear.app/crego/issue/CRE-4457/add-excess-settlement-in-eod-task
CRE-4463,Pre emi restructuring,Released,High,Somya Jain,release:v2.2.0; repo:crego-omni,Platform,2025-12-30,2025-12-17,2026-02-15,feature/cre-4463-pre-emi-restructuring,https://linear.app/crego/issue/CRE-4463/pre-emi-restructuring
CRE-4464,Bulk Loan Request,Released,Urgent,garima.a@crego.ai,release:v2.2.0; repo:crego-omni,Platform,2025-12-30,2025-12-17,2026-02-15,feature/cre-4464-bulk-loan-request,https://linear.app/crego/issue/CRE-4464/bulk-loan-request
CRE-4493,Add a check of financial period. Txn date can not belong to closed/locked financial period.,Released,High,Somya Jain,release:v2.2.0; repo:crego-omni,Platform,,2025-12-22,2026-02-15,feature/cre-4493-add-a-check-of-financial-period-txn-date-can-not-belong-to,https://linear.app/crego/issue/CRE-4493/add-a-check-of-financial-period-txn-date-can-not-belong-to
CRE-4495,Make application Dashboard configurable,Released,Medium,Raj Ankur,release:v2.2.0; client:shared; repo:crego-flow; type:feature,Platform,,2025-12-22,2026-02-15,feature/cre-4495-make-application-dashboard-configurable,https://linear.app/crego/issue/CRE-4495/make-application-dashboard-configurable
CRE-4504,BCPL - service fee settlement,Released,Urgent,Arjit Agnihotri,release:v2.2.0; client:shared,BCPL - CLM1,,2025-12-24,2026-02-15,feature/cre-4504-bcpl-service-fee-settlement,https://linear.app/crego/issue/CRE-4504/bcpl-service-fee-settlement
CRE-4505,Multi tranche disbursement (allow multiple disbursement on same day),Released,Urgent,Somya Jain,release:v2.2.0; repo:crego-omni,Platform,2025-12-30,2025-12-25,2026-02-15,feature/cre-4505-multi-tranche-disbursement-allow-multiple-disbursement-on,https://linear.app/crego/issue/CRE-4505/multi-tranche-disbursement-allow-multiple-disbursement-on-same-day
CRE-4509,Month end interest Collection,Released,Urgent,somya.j@crego.ai,"release:v2.2.0, repo:crego-omni",Platform,,2025-12-25,2026-02-15,,https://linear.app/crego/issue/CRE-4509
CRE-4511,Invoice + PO Financing -> Drawdown + Group Drawdown & Partial Disbursement,Released,Urgent,Somya Jain,release:v2.2.0; client:shared; repo:crego-omni; repo:crego-web,Platform,2026-02-04,2025-12-25,2026-02-15,feature/cre-4511-invoice-po-financing-drawdown-group-drawdown-partial,https://linear.app/crego/issue/CRE-4511/invoice-po-financing-drawdown-group-drawdown-and-partial-disbursement
CRE-4513,Aspire Foreclosure issue fixes,Released,Urgent,Ashutosh Sharma,release:v2.2.0; client:aspire,Aspire,,2025-12-26,2026-02-15,feature/cre-4513-aspire-foreclosure-issue-fixes,https://linear.app/crego/issue/CRE-4513/aspire-foreclosure-issue-fixes
CRE-4525,Charge Summary Report,PR Review,Urgent,priyam.j@crego.ai,release:v2.2.0; repo:crego-omni,Platform,,2025-12-26,2026-02-15,feature/cre-4525-charge-summary-report,https://linear.app/crego/issue/CRE-4525/charge-summary-report
CRE-4527,Program Portfolio Report,Released,Urgent,Somya Jain,release:v2.2.0; client:adani; repo:crego-omni,Adani Migration,,2025-12-26,2026-02-15,feature/cre-4527-program-portfolio-report,https://linear.app/crego/issue/CRE-4527/program-portfolio-report
CRE-4530,CDMS Requirements,QA,Medium,Somya Jain,release:v2.2.0; client:vayana; type:hotfix,Vayana - CDMS,,2025-12-26,2026-02-15,feature/cre-4530-cdms-requirements,https://linear.app/crego/issue/CRE-4530/cdms-requirements
CRE-4531,CLM-1 Issue,Released,Urgent,Somya Jain,release:v2.2.0; client:bcpl; type:bug,BCPL - CLM1,2025-12-30,2025-12-26,2026-02-15,feature/cre-4531-clm-1-issue,https://linear.app/crego/issue/CRE-4531/clm-1-issue
CRE-4536,Dashboard by status,Released,High,pankaj@crego.io,"client:ucic, release:v2.2.0, repo:crego-flow, repo:crego-web",UCIC LOS,,2025-12-29,2026-02-15,,https://linear.app/crego/issue/CRE-4536
CRE-4538,Show payment component split in payment listing,Released,High,Nikhil Sharma,release:v2.2.0; client:shared; repo:crego-web; type:improvement,Platform,2026-01-12,2025-12-29,2026-02-15,feature/cre-4538-show-payment-component-split-in-payment-listing,https://linear.app/crego/issue/CRE-4538/show-payment-component-split-in-payment-listing
CRE-4542,Deleted the workflow schedule but still getting email,Released,Urgent,somya.j@crego.ai,"release:v2.2.0, repo:crego-omni, type:bug",Platform,,2025-12-29,2026-02-15,,https://linear.app/crego/issue/CRE-4542
CRE-4555,RTGS in H2H,Released,Urgent,Shubham Singh,release:v2.2.0; client:adani,Adani,,2025-12-30,2026-02-15,feature/cre-4555-rtgs-in-h2h,https://linear.app/crego/issue/CRE-4555/rtgs-in-h2h
CRE-4563,Duplicate Group Names Allowed in Namespace,Released,High,garima.a@crego.ai,release:v2.2.0; repo:crego-web,Platform,,2026-01-02,2026-02-15,feature/cre-4563-duplicate-group-names-allowed-in-namespace,https://linear.app/crego/issue/CRE-4563/duplicate-group-names-allowed-in-namespace
CRE-4570,Excess Payment Refund,Released,High,Harshita Rajpal,release:v2.2.0; repo:crego-omni,Platform,,2026-01-02,2026-02-15,feature/cre-4570-excess-payment-refund,https://linear.app/crego/issue/CRE-4570/excess-payment-refund
CRE-4574,Improve Cleanup + Sample Data Seeder + Command in Django Admin,Released,High,Abhishek Sharma,release:v2.2.0; client:shared; repo:crego-omni; type:improvement,Platform,,2026-01-03,2026-02-15,feature/cre-4574-improve-cleanup-sample-data-seeder-command-in-django-admin,https://linear.app/crego/issue/CRE-4574/improve-cleanup-sample-data-seeder-command-in-django-admin
CRE-4578,Indifi communication update,Released,High,Pankaj Singh,release:v2.2.0; client:indifi,Indifi,,2026-01-05,2026-02-15,feature/cre-4578-indifi-communication-update,https://linear.app/crego/issue/CRE-4578/indifi-communication-update
CRE-4582,Add Filters in Transaction Summary,Released,Urgent,Gautam Singla,release:v2.2.0; repo:crego-web,Platform,,2026-01-05,2026-02-15,feature/cre-4582-add-filters-in-transaction-summary,https://linear.app/crego/issue/CRE-4582/add-filters-in-transaction-summary
CRE-4589,Upfront interest component fix,Released,Urgent,Hiten Kakwani,release:v2.2.0; client:vayana,Vayana - Colending,,2026-01-06,2026-02-15,feature/cre-4589-upfront-interest-component-fix,https://linear.app/crego/issue/CRE-4589/upfront-interest-component-fix
CRE-4590,Create prod-gcp environment,Released,High,Pradeep Devsecops,release:v2.2.0; client:bcpl,BCPL - CLM1,2026-01-26,2026-01-06,2026-02-15,feature/cre-4590-create-prod-gcp-environment,https://linear.app/crego/issue/CRE-4590/create-prod-gcp-environment
CRE-4594,Cleanup AWS non prod,Released,Urgent,Pradeep Devsecops,release:v2.2.0; client:shared,Infra,2026-01-12,2026-01-06,2026-02-15,feature/cre-4594-cleanup-aws-non-prod,https://linear.app/crego/issue/CRE-4594/cleanup-aws-non-prod
CRE-4597,Task node fixes,Released,Medium,Raj Ankur,release:v2.2.0; repo:crego-flow,Platform,,2026-01-06,2026-02-15,feature/cre-4597-task-node-fixes,https://linear.app/crego/issue/CRE-4597/task-node-fixes
CRE-4600,Transaction Date issue of,Released,Medium,garima.a@crego.ai,release:v2.2.0; client:shared,Platform,2026-01-16,2026-01-06,2026-02-15,feature/cre-4600-transaction-date-issue-of,https://linear.app/crego/issue/CRE-4600/transaction-date-issue-of
CRE-4601,Tenure Starts from Invoice Date/Disbursement Date,Released,Urgent,garima.a@crego.ai,release:v2.2.0,Platform,,2026-01-06,2026-02-15,,https://linear.app/crego/issue/CRE-4601
CRE-4602,Convert UTC to IST :- System is working on UTC time period but vayana is asking for IST time period,Released,Urgent,Somya Jain,release:v2.2.0; client:vayana,Vayana - CDMS,,2026-01-06,2026-02-15,feature/cre-4602-convert-utc-to-ist-system-is-working-on-utc-time-period-but,https://linear.app/crego/issue/CRE-4602/convert-utc-to-ist-system-is-working-on-utc-time-period-but-vayana-is
CRE-4607,Payment order should remove the components that is deduct upfront,Released,Low,Somya Jain,release:v2.2.0; client:shared,Platform,2026-01-16,2026-01-07,2026-02-15,feature/cre-4607-payment-order-should-remove-the-components-that-is-deduct,https://linear.app/crego/issue/CRE-4607/payment-order-should-remove-the-components-that-is-deduct-upfront
CRE-4608,Customer portfolio report,Released,High,somya.j@crego.ai,"client:shared, release:v2.2.0",Platform,,2026-01-07,2026-02-15,,https://linear.app/crego/issue/CRE-4608
CRE-4610,Customised Settlement Order while payment settlement,Released,Urgent,Harshita Rajpal,release:v2.2.0; client:shared; type:improvement,Platform,2026-01-12,2026-01-07,2026-02-15,feature/cre-4610-customised-settlement-order-while-payment-settlement,https://linear.app/crego/issue/CRE-4610/customised-settlement-order-while-payment-settlement
CRE-4612,UCIC Enhancement,Released,High,Raj Ankur,release:v2.2.0; client:ucic,UCIC LOS,,2026-01-07,2026-02-15,feature/cre-4612-ucic-enhancement,https://linear.app/crego/issue/CRE-4612/ucic-enhancement
CRE-4613,Consumer CIC report,Released,High,garima.a@crego.ai,release:v2.2.0; repo:crego-omni,Platform,,2026-01-08,2026-02-15,feature/cre-4613-consumer-cic-report,https://linear.app/crego/issue/CRE-4613/consumer-cic-report
CRE-4616,Service Fee Category Change,Released,Urgent,garima.a@crego.ai,release:v2.2.0; client:bcpl; repo:crego-omni,BCPL - CLM1,,2026-01-08,2026-02-15,feature/cre-4616-service-fee-category-change,https://linear.app/crego/issue/CRE-4616/service-fee-category-change
CRE-4617,Expired Document workflow is not working,Released,Urgent,somya.j@crego.ai,"client:shared, release:v2.2.0",Platform,,2026-01-08,2026-02-15,,https://linear.app/crego/issue/CRE-4617
CRE-4619,Add Excess Amount in Txn Summary,Released,Medium,Harshita Rajpal,release:v2.2.0; repo:crego-omni,Platform,,2026-01-08,2026-02-15,feature/cre-4619-add-excess-amount-in-txn-summary,https://linear.app/crego/issue/CRE-4619/add-excess-amount-in-txn-summary
CRE-4620,BPI as EMI,Released,Urgent,Somya Jain,release:v2.2.0; client:shared,Platform,,2026-01-08,2026-02-15,feature/cre-4620-bpi-as-emi,https://linear.app/crego/issue/CRE-4620/bpi-as-emi
CRE-4621,DR Drill,Released,Urgent,Pradeep Devsecops,release:v2.2.0; client:adani; repo:crego-infra,Adani,,2026-01-08,2026-02-15,feature/cre-4621-dr-drill,https://linear.app/crego/issue/CRE-4621/dr-drill
CRE-4623,Vayana Colending issues,Released,Urgent,Hiten Kakwani,release:v2.2.0; client:vayana,Vayana - Colending,,2026-01-08,2026-02-15,feature/cre-4623-vayana-colending-issues,https://linear.app/crego/issue/CRE-4623/vayana-colending-issues
CRE-4626,Merge preprod-merge into main,Released,Urgent,Pradeep Devsecops,release:v2.2.0; client:shared,Infra,2026-01-12,2026-01-08,2026-02-15,feature/cre-4626-merge-preprod-merge-into-main,https://linear.app/crego/issue/CRE-4626/merge-preprod-merge-into-main
CRE-4627,Github runner -> GCP VM,Released,Urgent,Pradeep Devsecops,release:v2.2.0; client:shared,Infra,2026-01-12,2026-01-08,2026-02-15,feature/cre-4627-github-runner-gcp-vm,https://linear.app/crego/issue/CRE-4627/github-runner-gcp-vm
CRE-4629,Report -> Audit Report,Development,High,Abhishek Sharma,release:v2.2.0; client:shared; repo:crego-omni,Platform,2026-02-02,2026-01-08,2026-02-15,feature/cre-4629-report-audit-report,https://linear.app/crego/issue/CRE-4629/report-audit-report
CRE-4631,Monthly Accrual for penal (ASPIRE-SCF REQUIREMENT),Released,Urgent,garima.a@crego.ai,release:v2.2.0; repo:crego-omni,Platform,2026-01-12,2026-01-09,2026-02-15,feature/cre-4631-monthly-accrual-for-penal-aspire-scf-requirement,https://linear.app/crego/issue/CRE-4631/monthly-accrual-for-penal-aspire-scf-requirement
CRE-4636,Consider pre emi count as separate from tenure,Released,Urgent,garima.a@crego.ai,release:v2.2.0,Platform,2026-01-12,2026-01-09,2026-02-15,feature/cre-4636-consider-pre-emi-count-as-separate-from-tenure,https://linear.app/crego/issue/CRE-4636/consider-pre-emi-count-as-separate-from-tenure
CRE-4637,Loan Closure changes,Released,High,garima.a@crego.ai,release:v2.2.0; repo:crego-omni,Platform,,2026-01-09,2026-02-15,feature/cre-4637-loan-closure-changes,https://linear.app/crego/issue/CRE-4637/loan-closure-changes
CRE-4639,Vayana workflow changes,Released,High,Hiten Kakwani,release:v2.2.0; client:vayana,Vayana - Colending,2026-01-13,2026-01-09,2026-02-15,feature/cre-4639-vayana-workflow-changes,https://linear.app/crego/issue/CRE-4639/vayana-workflow-changes
CRE-4640,Limit Amount check in multi tranche,Released,High,arjit@crego.io,"release:v2.2.0, repo:crego-omni, type:bug",Platform,,2026-01-09,2026-02-15,,https://linear.app/crego/issue/CRE-4640
CRE-4641,Txn listing improvement,Released,High,Nikhil Sharma,release:v2.2.0; client:shared; repo:crego-web; type:improvement,Platform,,2026-01-09,2026-02-15,feature/cre-4641-txn-listing-improvement,https://linear.app/crego/issue/CRE-4641/txn-listing-improvement
CRE-4655,Not able to process payment,Released,Urgent,garima.a@crego.ai,release:v2.2.0; repo:crego-omni,Platform,,2026-01-12,2026-02-15,feature/cre-4655-not-able-to-process-payment,https://linear.app/crego/issue/CRE-4655/not-able-to-process-payment
CRE-4658,DA issues,Released,Urgent,Arjit Agnihotri,release:v2.2.0; client:caspian,Caspian - DA,,2026-01-12,2026-02-15,feature/cre-4658-da-issues,https://linear.app/crego/issue/CRE-4658/da-issues
CRE-4663,Multiple Contacts Allowed While Creating Loans Under Same Loan Account,Released,High,garima.a@crego.ai,"release:v2.2.0, repo:crego-web",Platform,,2026-01-13,2026-02-15,,https://linear.app/crego/issue/CRE-4663
CRE-4664,Generated Report filter on Report does not have type to search,Released,High,garima.a@crego.ai,release:v2.2.0; client:shared,Platform,,2026-01-13,2026-02-15,feature/cre-4664-generated-report-filter-on-report-does-not-have-type-to,https://linear.app/crego/issue/CRE-4664/generated-report-filter-on-report-does-not-have-type-to-search
CRE-4670,DA Pool RPS,Released,High,Arjit Agnihotri,release:v2.2.0; client:caspian; repo:crego-omni,Caspian - DA,2026-01-16,2026-01-14,2026-02-15,feature/cre-4670-da-pool-rps,https://linear.app/crego/issue/CRE-4670/da-pool-rps
CRE-4673,"In the loan summary, a penal amount is displayed at the repayment level even though no repayment has been made on the loan.",Released,High,garima.a@crego.ai,release:v2.2.0; client:shared; repo:crego-omni; type:bug,Platform,,2026-01-15,2026-02-15,feature/cre-4673-in-the-loan-summary-a-penal-amount-is-displayed-at-the,https://linear.app/crego/issue/CRE-4673/in-the-loan-summary-a-penal-amount-is-displayed-at-the-repayment-level
CRE-4678,GL Enhancements,Released,Urgent,Somya Jain,release:v2.2.0; repo:crego-web; type:bug,Platform,,2026-01-16,2026-02-15,feature/cre-4678-gl-enhancements,https://linear.app/crego/issue/CRE-4678/gl-enhancements
CRE-4680,DPD ISSUE INSIDE LOAN,Released,High,garima.a@crego.ai,release:v2.2.0; client:shared,Platform,,2026-01-16,2026-02-15,feature/cre-4680-dpd-issue-inside-loan,https://linear.app/crego/issue/CRE-4680/dpd-issue-inside-loan
CRE-4681,Use pre-emi count in all restructuring: Schedule count is wrong,Released,High,Somya Jain,release:v2.2.0; repo:crego-omni,Platform,,2026-01-16,2026-02-15,feature/cre-4681-use-pre-emi-count-in-all-restructuring-schedule-count-is,https://linear.app/crego/issue/CRE-4681/use-pre-emi-count-in-all-restructuring-schedule-count-is-wrong
CRE-4682,Github jobs queue issue | Add second runner,Released,High,Pradeep Devsecops,release:v2.2.0; client:shared,Infra,,2026-01-16,2026-02-15,feature/cre-4682-github-jobs-queue-issue-add-second-runner,https://linear.app/crego/issue/CRE-4682/github-jobs-queue-issue-or-add-second-runner
CRE-4686,GL -> Tally Integration,QA,Medium,Hiten Kakwani,release:v2.2.0; client:vayana; repo:crego-omni; repo:crego-web; type:feature,Vayana - Colending,,2026-01-18,2026-02-15,feature/cre-4686-gl-tally-integration,https://linear.app/crego/issue/CRE-4686/gl-tally-integration
CRE-4693,"When a bank account has disbursement tag, then it should be used for payout",Released,High,Somya Jain,release:v2.2.0; repo:crego-web; type:bug,Platform,,2026-01-19,2026-02-15,feature/cre-4693-when-a-bank-account-has-disbursement-tag-then-it-should-be,https://linear.app/crego/issue/CRE-4693/when-a-bank-account-has-disbursement-tag-then-it-should-be-used-for
CRE-4694,Add ref_Id in payments table,Released,,sidharth.k@crego.ai,release:v2.2.0,,,2026-01-19,2026-02-15,feature/cre-4694-add-ref_id-in-payments-table,https://linear.app/crego/issue/CRE-4694/add-ref-id-in-payments-table
CRE-4697,Relation Nature in Master Setting issue,Released,High,Somya Jain,release:v2.2.0; client:shared,Platform,,2026-01-19,2026-02-15,feature/cre-4697-relation-nature-in-master-setting-issue,https://linear.app/crego/issue/CRE-4697/relation-nature-in-master-setting-issue
CRE-4700,PRE EMI toggle error,Released,High,Gautam Singla,release:v2.2.0; client:shared; type:bug,Platform,,2026-01-20,2026-02-15,feature/cre-4700-pre-emi-toggle-error,https://linear.app/crego/issue/CRE-4700/pre-emi-toggle-error
CRE-4701,Deduction details in Fee and Charges in Summary,Released,Medium,Somya Jain,release:v2.2.0; repo:crego-omni,Platform,,2026-01-20,2026-02-15,feature/cre-4701-deduction-details-in-fee-and-charges-in-summary,https://linear.app/crego/issue/CRE-4701/deduction-details-in-fee-and-charges-in-summary
CRE-4702,While adding waiver at repayment level and process it from the transaction level Showing an error,Released,High,garima.a@crego.ai,release:v2.2.0; client:shared,Platform,,2026-01-20,2026-02-15,feature/cre-4702-while-adding-waiver-at-repayment-level-and-process-it-from,https://linear.app/crego/issue/CRE-4702/while-adding-waiver-at-repayment-level-and-process-it-from-the
CRE-4703,Add refund Tag while adding bank account,Released,High,Abhishek Sharma,release:v2.2.0; client:shared,Platform,,2026-01-20,2026-02-15,feature/cre-4703-add-refund-tag-while-adding-bank-account,https://linear.app/crego/issue/CRE-4703/add-refund-tag-while-adding-bank-account
CRE-4704,Error In automatic payout (H2H) UTR,Released,Urgent,Shubham Singh,release:v2.2.0; client:adani,Adani,,2026-01-20,2026-02-15,feature/cre-4704-error-in-automatic-payout-h2h-utr,https://linear.app/crego/issue/CRE-4704/error-in-automatic-payout-h2h-utr
CRE-4708,Configurable color theme in app,Released,High,Raj Ankur,release:v2.2.0; client:shared,Platform,,2026-01-20,2026-02-15,feature/cre-4708-configurable-color-theme-in-app,https://linear.app/crego/issue/CRE-4708/configurable-color-theme-in-app
CRE-4711,Add a check for future date while creating loan,Released,High,somya.j@crego.ai,"client:shared, release:v2.2.0",Platform,,2026-01-20,2026-02-15,,https://linear.app/crego/issue/CRE-4711
CRE-4713,Not able to change the loan account draft status,Released,Urgent,garima.a@crego.ai,release:v2.2.0; repo:crego-web,,,2026-01-21,2026-02-15,feature/cre-4713-not-able-to-change-the-loan-account-draft-status,https://linear.app/crego/issue/CRE-4713/not-able-to-change-the-loan-account-draft-status
CRE-4717,Account level props,Released,High,Somya Jain,release:v2.2.0; client:shared; repo:crego-omni; repo:crego-web; type:feature,Platform,,2026-01-22,2026-02-15,feature/cre-4717-account-level-props,https://linear.app/crego/issue/CRE-4717/account-level-props
CRE-4718,Shift Due date of Interest in Month End Product,Released,High,garima.a@crego.ai,release:v2.2.0; client:shared,Platform,,2026-01-22,2026-02-15,feature/cre-4718-shift-due-date-of-interest-in-month-end-product,https://linear.app/crego/issue/CRE-4718/shift-due-date-of-interest-in-month-end-product
CRE-4719,After creating loan summary page is showing error,Released,High,garima.a@crego.ai,release:v2.2.0; client:shared,Platform,,2026-01-22,2026-02-15,feature/cre-4719-after-creating-loan-summary-page-is-showing-error,https://linear.app/crego/issue/CRE-4719/after-creating-loan-summary-page-is-showing-error
CRE-4722,System date & txn date feature,Released,High,garima.a@crego.ai,release:v2.2.0; client:shared; repo:crego-omni; repo:crego-web; type:feature,Platform,2026-02-04,2026-01-22,2026-02-15,feature/cre-4722-system-date-txn-date-feature,https://linear.app/crego/issue/CRE-4722/system-date-and-txn-date-feature
CRE-4723,Contact Should be pre-filled while creating payment inside the loan,Released,High,somya.j@crego.ai,"client:shared, release:v2.2.0",Platform,,2026-01-22,2026-02-15,,https://linear.app/crego/issue/CRE-4723
CRE-4724,Update all date widget schema to use preset,Released,Low,Gautam Singla,release:v2.2.0; client:shared,Platform,,2026-01-22,2026-02-15,feature/cre-4724-update-all-date-widget-schema-to-use-preset,https://linear.app/crego/issue/CRE-4724/update-all-date-widget-schema-to-use-preset
CRE-4725,Use setting's system date in backend like JV in payments,Released,High,priyam.j@crego.ai,release:v2.2.0; client:shared,Platform,,2026-01-23,2026-02-15,feature/cre-4725-use-settings-system-date-in-backend-like-jv-in-payments,https://linear.app/crego/issue/CRE-4725/use-settings-system-date-in-backend-like-jv-in-payments
CRE-4726,Setup dev-aws env for credits,Released,High,Pradeep Devsecops,release:v2.2.0; client:shared,Platform,2026-02-06,2026-01-23,2026-02-15,feature/cre-4726-setup-dev-aws-env-for-credits,https://linear.app/crego/issue/CRE-4726/setup-dev-aws-env-for-credits
CRE-4728,Future Date Selection Allowed in Write-Off Transaction,Released,High,garima.a@crego.ai,"release:v2.2.0, repo:crego-web, type:bug",Platform,,2026-01-23,2026-02-15,,https://linear.app/crego/issue/CRE-4728
CRE-4732,EMI due date change,Released,High,Somya Jain,release:v2.2.0; client:aerem; repo:crego-omni,Aerem Migration,,2026-01-25,2026-02-15,feature/cre-4732-emi-due-date-change,https://linear.app/crego/issue/CRE-4732/emi-due-date-change
CRE-4733,"In all Restructuring, consider tranche(s)",Released,High,Somya Jain,release:v2.2.0; repo:crego-omni,Platform,2026-02-02,2026-01-25,2026-02-15,feature/cre-4733-in-all-restructuring-consider-tranches,https://linear.app/crego/issue/CRE-4733/in-all-restructuring-consider-tranches
CRE-4734,Txn Date and Form Issue,Released,Urgent,Somya Jain,release:v2.2.0,Platform,,2026-01-25,2026-02-15,feature/cre-4734-txn-date-and-form-issue,https://linear.app/crego/issue/CRE-4734/txn-date-and-form-issue
CRE-4737,EOD Configuration & Workflow Management,Development,High,Nikhil Sharma,release:v2.2.0; client:shared; repo:crego-omni; repo:crego-web; type:feature,Platform,2026-02-10,2026-01-26,2026-02-15,feature/cre-4737-eod-configuration-workflow-management,https://linear.app/crego/issue/CRE-4737/eod-configuration-and-workflow-management
CRE-4740,Loan schedule is not loading,Released,High,arun.k@crego.ai,"client:shared, release:v2.2.0",Platform,,2026-01-26,2026-02-15,,https://linear.app/crego/issue/CRE-4740
CRE-4741,Not able to download customer portfolio report,Released,High,Somya Jain,release:v2.2.0; client:shared; type:bug,Platform,,2026-01-26,2026-02-15,feature/cre-4741-not-able-to-download-customer-portfolio-report,https://linear.app/crego/issue/CRE-4741/not-able-to-download-customer-portfolio-report
CRE-4742,Outstanding and Tax Out should be zero for Deductions,Released,High,garima.a@crego.ai,release:v2.2.0; client:shared,Platform,,2026-01-27,2026-02-15,feature/cre-4742-outstanding-and-tax-out-should-be-zero-for-deductions,https://linear.app/crego/issue/CRE-4742/outstanding-and-tax-out-should-be-zero-for-deductions
